version,language,gaming_frequency,consent_understand,consent_publication,consent,pf1,pf2,pf3,pf4,imi1,imi2,imi3,imi4,imi5,imi6,imi7,bug,bugdesc,imi_enjoyment,play_framing,total_moves,moves_correct_form,grammatical_moves_idealised,proportion_of_valid_data_total_idealised,proportion_of_valid_data_first20_idealised,proportion_of_valid_data_providing_mechanic_actuations_total_idealised,moves_correct_form_last16,moves_correct_form_last10,grammatical_moves_last16_idealised,grammatical_moves_last10_idealised,proportion_of_valid_data_last16_idealised,proportion_of_valid_data_last10_idealised,proportion_of_valid_data_providing_mechanic_actuations_last16_idealised,time_per_input_from_moveDurations,time_per_input_from_8min
HighFraming,english,several-times-a-week,True,True,True,3,2,5,5,2,2,1,2,2,2,5,nobug,,3.142857142857143,3.0,29,28,18,0.6206896551724138,0.6,0.6428571428571429,16,10,12,7,0.75,0.7,0.75,10.767296551723932,16.551724137931036
HighFraming,english,several-times-a-week,True,True,True,5,5,1,1,5,5,5,5,6,6,2,nobug,,3.7142857142857144,4.25,15,11,5,0.3333333333333333,0.25,0.45454545454545453,11,6,5,3,0.3125,0.3,0.45454545454545453,18.04211333333651,32.0
LowFraming,english,several-times-a-week,True,True,True,2,2,3,2,3,3,2,4,4,3,2,nobug,,3.0,3.0,4,3,0,0.0,0.0,0.0,3,3,0,0,0.0,0.0,0.0,86.52525,120.0
HighFraming,english,every-day,True,True,True,4,5,1,1,5,5,3,6,5,6,1,nobug,,3.5714285714285716,4.0,27,22,3,0.1111111111111111,0.05,0.13636363636363635,13,9,2,2,0.125,0.2,0.15384615384615385,12.001385185185232,17.77777777777778
HighFraming,english,several-times-a-week,True,True,True,2,3,3,2,3,3,2,5,5,6,3,nobug,,3.5714285714285716,3.25,26,24,23,0.8846153846153846,0.9,0.9583333333333334,14,9,13,9,0.8125,0.9,0.9285714285714286,12.76724230769506,18.46153846153846
HighFraming,english,about-once-a-month,True,True,True,4,4,2,2,3,4,4,5,5,5,3,nobug,,3.2857142857142856,3.75,35,34,27,0.7714285714285715,0.65,0.7941176470588235,16,10,15,9,0.9375,0.9,0.9375,9.653088571419035,13.714285714285714
HighFraming,english,several-times-a-week,True,True,True,5,5,1,1,5,5,5,6,6,6,1,nobug,,3.4285714285714284,4.25,15,8,6,0.4,0.3,0.75,8,4,6,4,0.375,0.4,0.75,18.946168000000004,32.0
HighFraming,english,about-once-a-month,True,True,True,3,3,4,3,3,3,2,3,3,4,2,nobug,,3.142857142857143,3.5,36,30,5,0.1388888888888889,0.05,0.16666666666666666,14,9,4,4,0.25,0.4,0.2857142857142857,8.220777777777776,13.333333333333334
LowFraming,english,almost-never,True,True,True,4,4,2,2,2,4,2,5,4,5,2,nobug,,3.142857142857143,3.75,19,18,5,0.2631578947368421,0.25,0.2777777777777778,15,10,5,4,0.3125,0.4,0.3333333333333333,16.091263157894833,25.263157894736842
LowFraming,english,almost-never,True,True,True,3,2,2,2,4,3,1,6,5,6,1,nobug,,3.4285714285714284,3.0,1,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,20.39790000009537,480.0
HighFraming,english,every-day,True,True,True,4,4,2,1,5,5,1,6,6,6,1,nobug,,4.0,4.0,12,12,12,1.0,0.6,1.0,12,10,12,10,0.75,1.0,1.0,23.27933333333334,40.0
LowFraming,english,several-times-a-week,True,True,True,4,5,1,1,3,3,4,4,5,4,2,nobug,,3.0,4.0,25,24,13,0.52,0.55,0.5416666666666666,16,10,9,7,0.5625,0.7,0.5625,12.00736,19.2
LowFraming,english,several-times-a-week,True,True,True,4,4,1,1,4,4,4,5,5,5,4,nobug,,3.5714285714285716,3.75,9,9,0,0.0,0.0,0.0,9,9,0,0,0.0,0.0,0.0,21.544600000000248,53.333333333333336
HighFraming,english,several-times-a-week,True,True,True,4,4,2,3,2,3,2,5,5,5,2,nobug,,3.142857142857143,3.5,33,33,33,1.0,1.0,1.0,16,10,16,10,1.0,1.0,1.0,10.90360303030303,14.545454545454545
LowFraming,english,about-once-a-week,True,True,True,3,3,2,1,5,3,4,2,1,2,3,nobug,,2.857142857142857,3.5,2,2,1,0.5,0.05,0.5,2,2,1,1,0.0625,0.1,0.5,167.34684999996423,240.0
LowFraming,english,several-times-a-week,True,True,True,4,4,1,1,3,5,2,6,5,6,1,nobug,,3.4285714285714284,3.75,27,23,8,0.2962962962962963,0.3,0.34782608695652173,13,7,7,2,0.4375,0.2,0.5384615384615384,11.395259259259255,17.77777777777778
HighFraming,english,almost-never,True,True,True,5,5,1,1,5,5,5,5,5,6,3,nobug,,3.7142857142857144,4.25,6,4,0,0.0,0.0,0.0,4,4,0,0,0.0,0.0,0.0,43.117383333333464,80.0
LowFraming,english,about-once-a-month,True,True,True,4,4,2,1,4,5,4,6,6,6,1,nobug,,3.4285714285714284,4.0,34,33,19,0.5588235294117647,0.5,0.5757575757575758,15,10,10,6,0.625,0.6,0.6666666666666666,9.039775147157556,14.117647058823529
HighFraming,english,about-once-a-month,True,True,True,3,3,3,3,3,2,1,3,4,4,3,nobug,,3.4285714285714284,3.25,7,7,4,0.5714285714285714,0.2,0.5714285714285714,7,7,4,4,0.25,0.4,0.5714285714285714,5.719957142857568,68.57142857142857
HighFraming,english,about-once-a-month,True,True,True,5,5,4,4,5,5,5,6,1,6,6,bug,,3.4285714285714284,4.25,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,,0.0
LowFraming,english,almost-never,True,True,True,4,4,1,2,4,4,3,3,4,3,3,nobug,,3.4285714285714284,3.5,21,19,12,0.5714285714285714,0.6,0.631578947368421,14,8,10,4,0.625,0.4,0.7142857142857143,13.933955238095239,22.857142857142858
HighFraming,english,every-day,True,True,True,4,4,2,2,3,4,3,5,5,5,1,nobug,,3.142857142857143,3.75,28,28,24,0.8571428571428571,0.8,0.8571428571428571,16,10,14,9,0.875,0.9,0.875,11.316189285714316,17.142857142857142
LowFraming,english,several-times-a-week,True,True,True,4,4,2,1,3,4,2,5,5,5,2,nobug,,3.4285714285714284,4.0,12,11,9,0.75,0.45,0.8181818181818182,11,9,9,8,0.5625,0.8,0.8181818181818182,25.11121666666679,40.0
LowFraming,english,almost-never,True,True,True,2,2,2,2,3,3,1,3,2,2,5,nobug,,3.2857142857142856,2.75,20,18,5,0.25,0.25,0.2777777777777778,14,8,4,1,0.25,0.1,0.2857142857142857,14.173574999999996,24.0
LowFraming,english,every-day,True,True,True,5,5,1,1,5,5,5,6,6,6,1,nobug,,3.4285714285714284,4.25,21,20,16,0.7619047619047619,0.75,0.8,15,9,11,8,0.6875,0.8,0.7333333333333333,14.927642857142851,22.857142857142858
HighFraming,english,several-times-a-week,True,True,True,4,4,1,1,4,4,4,4,4,4,1,nobug,,3.0,3.75,21,20,15,0.7142857142857143,0.7,0.75,15,9,10,5,0.625,0.5,0.6666666666666666,15.41592857142999,22.857142857142858
